title,body_part,difficulty,equipment,image1,image2
Standing Gate Openers (Frankensteins),"['Abs', 'Butt/Hips', 'Legs - Thighs']",Intermediate,['No Equipment'],StandingGateOpeners(Frankensteins)_155-1.jpg,StandingGateOpeners(Frankensteins)_155-2.jpg
Lateral Over Unders,"['Abs', 'Butt/Hips', 'Legs - Thighs']",Intermediate,"['No Equipment', 'Raised Platform/Box']",LateralOverUnders_206-1.jpg,LateralOverUnders_206-2.jpg
Step Stretch,['Legs - Calves and Shins'],Intermediate,['Raised Platform/Box'],StepStretch_206-1.jpg,StepStretch_206-2.jpg
Seated Straddle with Side Reaches ,"['Abs', 'Back', 'Legs - Thighs']",Intermediate,['No Equipment'],SeatedStraddlewithSideReaches_206-1.jpg,SeatedStraddlewithSideReaches_206-2.jpg
Reverse Slam,"['Butt/Hips', 'Full Body/Integrated', 'Legs - Thighs', 'Shoulders']",Intermediate,['Medicine Ball'],ReverseSlam_206-1.jpg,ReverseSlam_206-2.jpg
Standing Ankle Mobilization,['Legs - Calves and Shins'],Intermediate,['No Equipment'],StandingAnkleMobilization_206-1.jpg,StandingAnkleMobilization_206-2.jpg
Standing Triangle Straddle Bends,"['Back', 'Butt/Hips', 'Legs - Thighs']",Intermediate,['No Equipment'],StandingTriangleStraddleBends_206-1.jpg,StandingTriangleStraddleBends_206-2.jpg
Lateral Hurdle Run,"['Full Body/Integrated', 'Legs - Calves and Shins', 'Legs - Thighs']",Intermediate,['Hurdles'],LateralHurdleRun_206-1.jpg,LateralHurdleRun_206-2.jpg
Supine Spinal Twist with Rib Grab and Progressions,"['Abs', 'Back', 'Chest', 'Shoulders']",Intermediate,['No Equipment'],SupineSpinalTwistwithRibGrabandProgressions_206-1.jpg,SupineSpinalTwistwithRibGrabandProgressions_206-2.jpg
Supine IT Band Stretch,['Legs - Thighs'],Intermediate,['No Equipment'],SupineITBandStretch_206-1.jpg,SupineITBandStretch_206-2.jpg
Cycled Split-Squat Jump,"['Butt/Hips', 'Legs - Calves and Shins', 'Legs - Thighs']",Intermediate,['No Equipment'],CycledSplit-SquatJump_206-1.jpg,CycledSplit-SquatJump_206-2.jpg
"Shoulder Stability-Mobility Series - I, Y, T, W Formations ",['Shoulders'],Intermediate,['No Equipment'],ShoulderStability-MobilitySeries-I_Y_T_WFormations_206-1.jpg,ShoulderStability-MobilitySeries-I_Y_T_WFormations_206-2.jpg
Supine Bicycle Crunches,['Abs'],Intermediate,['No Equipment'],SupineBicycleCrunches_206-1.jpg,SupineBicycleCrunches_206-2.jpg
V-ups,['Abs'],Intermediate,['No Equipment'],V-ups_242-1.jpg,V-ups_242-2.jpg
Vertical Toe Touches,['Abs'],Intermediate,['No Equipment'],VerticalToeTouches_242-1.jpg,VerticalToeTouches_242-2.jpg
Spider Walks,"['Arms', 'Full Body/Integrated']",Intermediate,['No Equipment'],SpiderWalks_242-1.jpg,SpiderWalks_242-2.jpg
"Prone Scapular (Shoulder) Stabilization Series - I, Y, T, W, O Formation","['Back', 'Shoulders']",Intermediate,['No Equipment'],ProneScapular(Shoulder)StabilizationSeries-I_Y_T_W_OFormation_242-1.jpg,ProneScapular(Shoulder)StabilizationSeries-I_Y_T_W_OFormation_242-2.jpg
Sprinter Pulls,['Full Body/Integrated'],Intermediate,['No Equipment'],SprinterPulls_242-1.jpg,SprinterPulls_242-2.jpg
Plank with Knee Drag,"['Butt/Hips', 'Legs - Thighs']",Intermediate,['No Equipment'],PlankwithKneeDrag_242-1.jpg,PlankwithKneeDrag_242-2.jpg
CKC Parascapular Exercises,"['Chest', 'Shoulders']",Intermediate,['No Equipment'],CKCParascapularExercises_242-1.jpg,CKCParascapularExercises_242-2.jpg
